State,StateEn,Location,Population,Area,Density,Lat,Lon
北海道,Hokkaido,札幌市,5430909,78421.34,69.25,43.063968,141.347899
青森県,Aomori,青森市,1336155,9644.74,138.54,40.824623,140.740593
岩手県,Iwate,盛岡市,1294453,15278.89,84.72,39.703531,141.152667
宮城県,Miyagi,仙台市,2328143,7285.8,319.55,38.268839,140.872103
秋田県,Akita,秋田市,1050244,11636.32,90.26,39.718635,140.102415
山形県,Yamagata,山形市,1141260,9323.46,122.41,38.240437,140.363634
福島県,Fukushima,福島市,1947580,13782.76,141.31,37.750299,140.467521
茨城県,Ibaraki,水戸市,2933381,6095.84,481.21,36.341813,140.446793
栃木県,Tochigi,宇都宮市,1987119,6408.28,310.09,36.565725,139.883565
群馬県,Gunma,前橋市,1984334,6362.33,311.89,36.391251,139.060848
埼玉県,Saitama,さいたま市,7221806,3798.08,"1,901.44",35.857428,139.648933
千葉県,Chiba,千葉市,6193007,5156.62,"1,200.98",35.605058,140.123308
東京都,Tokyo,新宿区,13286735,2188.67,"6,070.69",35.689521,139.691704
神奈川県,Kanagawa,横浜市,9081742,2416.05,"3,758.92",35.447753,139.642514
新潟県,Niigata,新潟市,2330797,12583.84,185.22,37.902418,139.023221
富山県,Toyama,富山市,1076158,4247.62,253.36,36.69529,137.211338
石川県,Ishikawa,金沢市,1159015,4186.21,276.86,36.594682,136.625573
福井県,Fukui,福井市,794492,4189.89,189.62,36.065219,136.221642
山梨県,Yamanashi,甲府市,845956,4465.37,189.45,35.664158,138.568449
長野県,Nagano,長野市,2120076,13562.23,156.32,36.651289,138.181224
岐阜県,Gifu,岐阜市,2053286,10621.17,193.32,35.391227,136.722291
静岡県,Shizuoka,静岡市,3715901,7780.6,477.59,34.976978,138.383054
愛知県,Aichi,名古屋市,7434996,5165.16,"1,439.45",35.180188,136.906565
三重県,Mie,津市,1829063,5777.35,316.59,34.730283,136.508591
滋賀県,Shiga,大津市,1416952,4017.36,352.71,35.004531,135.86859
京都府,Kyoto,京都市,2620210,4613.26,567.97,35.021365,135.755481
大阪府,Osaka,大阪市,8860280,1901.42,"4,659.82",34.686297,135.519661
兵庫県,Hyogo,神戸市,5556788,8396.47,661.8,34.691279,135.183025
奈良県,Nara,奈良市,1383549,3691.09,374.83,34.685333,135.832744
和歌山県,Wakayama,和歌山市,979354,4726.32,207.21,34.226034,135.167506
鳥取県,Tottori,鳥取市,577642,3507.31,164.7,35.503869,134.237672
島根県,Shimane,松江市,702237,6707.98,104.69,35.472297,133.050499
岡山県,Okayama,岡山市,1930446,7113.24,271.39,34.661755,133.934407
広島県,Hiroshima,広島市,2840211,8479.81,334.94,34.39656,132.459622
山口県,Yamaguchi,山口市,1420003,6114.14,232.25,34.186121,131.4705
徳島県,Tokushima,徳島市,769844,4146.81,185.65,34.065761,134.559279
香川県,Kagawa,高松市,985387,1876.58,525.1,34.340149,134.043444
愛媛県,Ehime,松山市,1405051,5678.51,247.43,33.84166,132.765362
高知県,Koti,高知市,745070,7105.2,104.86,33.559705,133.53108
福岡県,Fukuoka,福岡市,5090712,4979.42,"1,022.35",33.606785,130.418314
佐賀県,Saga,佐賀市,839615,2439.67,344.15,33.249367,130.298822
長崎県,Nagasaki,長崎市,1396461,4105.88,340.11,32.744839,129.873756
熊本県,Kumamoto,熊本市,1801495,7404.89,243.28,32.789828,130.741667
大分県,Oita,大分市,1178775,6339.82,185.93,33.238194,131.612591
宮崎県,Miyazaki,宮崎市,1120450,7736.08,144.83,31.91109,131.423855
鹿児島県,Kagoshima,鹿児島市,1679848,9188.99,182.81,31.560148,130.557981
沖縄県,Okinawa,那覇市,1416587,2276.72,622.21,26.212401,127.680932
